,originalTitle,numVotes,startYear,averageRating
438681,CM101MMXI Fundamentals,44252,2013.0,9.2
145007,Soorarai Pottru,79405,2020.0,9.1
54935,The Dark Knight,2357434,2008.0,9.0
470,The Lord of the Rings: The Return of the King,1673344,2003.0,8.9
277602,Inception,2115387,2010.0,8.8
97,The Lord of the Rings: The Fellowship of the Ring,1694093,2001.0,8.8
617479,Dag II,106026,2016.0,8.8
471,The Lord of the Rings: The Two Towers,1513208,2002.0,8.7
105634,Interstellar,1560023,2014.0,8.6
3719,Sen to Chihiro no kamikakushi,671196,2001.0,8.6
665182,Gisaengchung,609901,2019.0,8.6
16568,Cidade de Deus,709556,2002.0,8.6
4611,The Pianist,749202,2002.0,8.5
37174,The Departed,1213591,2006.0,8.5
530,Gladiator,1366935,2000.0,8.5
59405,The Prestige,1216338,2006.0,8.5
334220,Intouchables,778830,2011.0,8.5
736543,Hamilton,64650,2020.0,8.5
438151,Whiplash,739323,2014.0,8.5
291375,Senna,65293,2010.0,8.5
